RELI,E_KOORD,N_KOORD,B22BTOT,B22B11,B22B12,B22B13,B22B14,B22B15,B22B16,B22B21,B22B22,B22B23,B22B24,B22B25,B22B26,B22B27,B22B28,B22B29,B22B30,B22BMTOT,B22BM01,B22BM02,B22BM03,B22BM04,B22BM05,B22BM06,B22BM07,B22BM08,B22BM09,B22BM10,B22BM11,B22BM12,B22BM13,B22BM14,B22BM15,B22BM16,B22BM17,B22BM18,B22BM19,B22BWTOT,B22BW01,B22BW02,B22BW03,B22BW04,B22BW05,B22BW06,B22BW07,B22BW08,B22BW09,B22BW10,B22BW11,B22BW12,B22BW13,B22BW14,B22BW15,B22BW16,B22BW17,B22BW18,B22BW19,B22B41,B22B42,B22B43,B22B44,B22B45,B22B46,B22B51,B22B52,B22B53,B22B54,B22B55,B22B56,H22PTOT,H22P01,H22P02,H22P03,H22P04,H22P05,H22P06,H22PI,latitude,longitude,geometry
74452464,2744500,1246400,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,1,47.352602309461105,9.351286812298596,POINT (9.351286812298596 47.352602309461105)
74462439,2744600,1243900,39,30,9,6,3,3,0,31,0,12,19,0,8,5,3,3,0,16,3,0,0,0,0,5,3,3,3,0,3,3,0,3,3,3,0,0,0,23,5,3,0,3,3,5,3,3,0,3,0,3,3,0,0,3,3,0,0,3,19,4,3,11,0,33,3,3,0,3,0,20,9,4,6,3,0,0,1,47.33010122753496,9.35180306214591,POINT (9.35180306214591 47.33010122753496)
74462440,2744600,1244000,5,5,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,5,0,0,0,0,0,3,0,3,3,0,0,0,1,47.33100039640949,9.3518353236376,POINT (9.3518353236376 47.33100039640949)
74462441,2744600,1244100,8,8,0,0,0,0,0,8,0,3,5,0,0,0,0,0,0,4,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,5,0,3,0,3,0,3,0,3,0,0,0,3,1,47.33189956503631,9.351867586220674,POINT (9.351867586220674 47.33189956503631)
74462443,2744600,1244300,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,1,47.33369790154597,9.35193211466121,POINT (9.35193211466121 47.33369790154597)
74462448,2744600,1244800,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,1,47.33819373846976,9.352093454866125,POINT (9.352093454866125 47.33819373846976)
74472434,2744700,1243400,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,0,0,0,0,1,47.32558344039533,9.352964215701151,POINT (9.352964215701151 47.32558344039533)
74472439,2744700,1243900,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,1,47.330079286644164,9.353125618237563,POINT (9.353125618237563 47.330079286644164)
74472443,2744700,1244300,7,7,0,0,0,0,0,7,0,6,3,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,0,0,0,0,0,3,0,0,0,0,0,3,1,47.33367595918958,9.353254759923564,POINT (9.353254759923564 47.33367595918958)
74472446,2744700,1244600,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,0,0,0,0,1,47.33637346099143,9.35335162765723,POINT (9.35335162765723 47.33637346099143)
74472466,2744700,1246600,4,4,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,3,0,0,0,3,0,0,1,47.35435674876853,9.353997663908912,POINT (9.353997663908912 47.35435674876853)
74482439,2744800,1243900,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,1,47.33005733058902,9.354448173237149,POINT (9.354448173237149 47.33005733058902)
74482441,2744800,1244100,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,1,47.33185566662438,9.354512786479473,POINT (9.354512786479473 47.33185566662438)
74482448,2744800,1244800,5,4,3,3,0,0,0,4,0,3,3,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,3,3,0,0,3,0,0,1,47.33814983492596,9.354738967258834,POINT (9.354738967258834 47.33814983492596)
74482463,2744800,1246300,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,1,47.35163729716456,9.355223820795198,POINT (9.355223820795198 47.35163729716456)
74482467,2744800,1246700,4,3,3,3,0,0,0,3,0,3,3,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,3,0,3,0,0,0,3,3,0,3,0,0,0,1,47.355233944185336,9.355353156647817,POINT (9.355353156647817 47.355233944185336)
74492435,2744900,1243500,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,1,47.326438685798045,9.355641424614483,POINT (9.355641424614483 47.326438685798045)
74492446,2744900,1244600,4,4,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,0,0,3,0,0,0,3,0,0,1,47.3363295285819,9.35599704867551,POINT (9.35599704867551 47.3363295285819)
74492456,2744900,1245600,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,1,47.34532117769531,9.35632045814625,POINT (9.35632045814625 47.34532117769531)
