,Place ID,Name,Latitude,Longitude,Address
71,ChIJ6aObgU4jm0cR1Kk8LbSCDEI,lanker-hofprodukte,47.37030679999999,9.4717482,"Rotenwies 73, Gais"
72,ChIJy5hNrWohm0cRddZo7EXydjY,Greek Garden,47.3372677,9.405971,"Lehnstrasse 9, Appenzell"
73,ChIJCc7DG_whm0cRGTZMmcM7r5c,Bär Transporte,47.3719919,9.4181277,Bühler
74,ChIJf0Qjrn4hm0cRWr7bC8rtcDc,Coop Supermarkt Appenzell,47.3334892,9.4067887,"Zielstrasse 13, Appenzell"
75,ChIJnZqW3X4hm0cRW0YemMJutLk,SPAR Supermarkt Appenzell,47.3349361,9.4084246,"Unteres Ziel 1, Appenzell"
76,ChIJM2CdBsQjm0cRyBtH8TyWiRU,VOLG Appenzell,47.32178270000001,9.426969,"Weissbadstrasse 86, Appenzell"
77,ChIJY975U_whm0cRxIC7LIWHO5w,Denner Partner,47.3738142,9.4173183,"Dorfstrasse 102, Bühler"
79,ChIJJb6Y3nQhm0cRBdKTHmichsg,Mercato Shop AG,47.3286459,9.4095018,"Mercato Shop AG, Appenzell"
80,ChIJEQx_vxAgm0cR81VSrysdEmk,VOLG Stein AR,47.3716499,9.3436125,"Schachen 45, Stein"
81,ChIJX441hX0hm0cRHYAp-9h2sgA,Denner Satellit,47.3327907,9.4145535,"Gaiserstrasse 21, Appenzell"
82,ChIJUd3X0JEjm0cRZVuq7lBc9WE,Hergetos Olivenöl Direktverkauf,47.3062262,9.4370194,"Scheregg 13, Weissbad"
83,ChIJn8ewG3Ihm0cRXJSuXZ6h6cM,Öserix - vom Appezölle Buur,47.3281137,9.4103714,"Hoferbad 2, Appenzell"
84,ChIJy5hNrWohm0cRddZo7EXydjY,Greek Garden,47.3372677,9.405971,"Lehnstrasse 9, Appenzell"
85,ChIJCc7DG_whm0cRGTZMmcM7r5c,Bär Transporte,47.3719919,9.4181277,Bühler
